At 3:42 on July 28 , 1976 , a strong earthquake hit Tangshan .  ||| 一九七六年 七月 二十八日 三时 四十二分 ， 唐山 发生 强烈 地震 。
No , they did n 't .  ||| 没有 ， 没有 。
Uh , , uh , um , , the gist of what he said was that no one 's responsibility would be looked into .  ||| 呃 华国峰 就说 ， 啊 ， 噢 ， 这 ， 他 那 话 的 意思 就 不 追究 任何 责任 。
He said , you need n 't have any concerns .  ||| 就 说 你们 不 要 有 什么 顾虑 。
 , , uh , when you go back , continue with your monitoring work , monitoring and aftershocks .  ||| 你们 那个 什么 ， 啊 回去 以后 ， 加紧 做好 监测 工作 ， 监测 与 余震 。
And protect the Party Central Committee and protect Chairman Mao .  ||| 那么 ， 保卫 党 中央 ， 保卫 毛 主席 。
That was the gist of what Hua Guofeng said .  ||| 这 华国峰 说话 的 就 这个 意思 。
Who else was in attendance at the time ?  ||| *T*-1 当时 在座 的 还 有 谁 ？
In attendance , uh , from the Seismology Bureau there were three of us , Director Liu Yingyong , Deputy Director Mei Shirong , and me . ||| *T*-1 在座 的 ， 呃 ， 地震局 就 是 我们 三 个 ， 刘英勇 局长 ， 梅世蓉 副主任 ， 还有 我 。
 , the national leaders were Hua Guofeng ,  ||| 那个 ， 国家 领导人 呢 就 是 华国峰 ，
oh , there was Jiang Qing ,  ||| 呃 ， 有 江青 ，
there was Ji Dengkui , there was Wu De .  ||| 有 纪登奎 ， 有 吴德 。
This was an informational briefing that hardly anyone knows about .  ||| 这 是 一 封 *T*-1 鲜为人知 的 简报 ，
The time was January 20 , 1977 .  ||| 时间 是 一九七七年 一月 二十日 。
The briefing only had a total of 450 copies ; it was mainly Committee leaders at the time who were reported to .  ||| 简报 一共 只 有 四百五十 份 ， *pro* 主要 报送 的 是 当时 的 中央 领导 。
In the briefing , the National Seismology Bureau for the first time analyzed the reasons for the failure to report the Tangshan earthquake . ||| 简报 中 ， 国家 地震局 第一 次 分析 了 唐山 地震 漏报 的 原因 。
The National Seismology Bureau believes , first , that it did not clearly recognize the relationship between anomalies and earthquakes , and it made errors in assessing the earthquake . ||| 国家 地震局 认为 ， 一 ， 对 异常 和 地震 的 关系 认识 不 清 ， 对 震情 判断 有错 。
Second , it did not recognize pre-earthquake anomalous signs .  ||| 二 ， 对 临震 异常 的 标志 认识 不 清 。
Third , it did not understand the seismological and geological signs in the Beijing , Tianjin , Tangshan , Bohai , Zhangjiakou area . ||| 三 ， 对 京 津 唐 渤 张 地区 地震 地质 构造 标志 认识 不 清 。
These three " lack of understandings " made people feel quite a bit of guilty conscience .  ||| 这 三 个 认识 不 清 看 得 人 不甚 心虚 ，
Were the reasons that led to so many deaths and injuries all that simple ?  ||| 造成 那么 多 人 伤残 和 罹难 难道 原因 就 是 这样 的 简单 吗 ？
The reports from the monitoring stations , the experts  ' opinions all failed to be taken seriously by the relevant departments ; what kind of questions did this raise ? ||| 群测点 的 预报 ， 专家 的 意见 ， 都 没 能 引起 有关 部门 的 重视 ， 这 其中 究竟 出 了 什么 问题 ？
And if the pre-quake predictions had been taken seriously , what result would that have led to ?  ||| 而 如果 震前 预报 意见 得到 重视 ， 又 会 出现 什么样 的 结果 呢 ？
These are the relics and ruins left to us by the Great Tangshan Earthquake .  ||| 这里 就 是 唐山 大 地震 所 遗留 下来 的 废墟 和 遗址 。
In that calamity , all of Tangshan was laid waste .  ||| 在 那 场 灾难 当中 ， 整个 唐山 都 被 夷为 了 一 片 平地 ，
And yet in the county seat of Qinglong County in Hebei Province , although it is only 115 km from here , not even one person in the whole county died in the great earthquake . ||| 然而 河北省 青龙县 的 县城 ， 虽然 距离 这里 只 有 一百一十五 公里 的 距离 ， 整个 县 在 大 地震 当中 ， 却 没有 一 个 人 死亡 。
On the eve of the twentieth anniversary of the Great Tangshan Earthquake , that is in April of 1996 , Qinglong was chosen by a United Nations agency to become a successful model for the integration of scientific research and administrative ||| 唐山 大 地震 二十 周年 的 前夕 ， 也 就 是 一九九六年 的 四月 ， 青龙 被 联合国 的 有关 机构 ， 评选 成为 了 科学 研究 和 行政 管理 相 结合 ， 取得 成效 的 典范 。
In fact , on August 20 , 1976 , the Hebei Science Committee had issued a brief report which for the first time revealed the facts about Qinglong having successfully prepared against the Great Tangshan Earthquake . ||| 实际上 ， 早 在 一九七六年 的 八月 二十日 ， 河北省 科委 ， 就 曾经 发出 过 一 份 简报 ， 第一 次 向 外界 披露 了 青龙 成功 地 预防 了 唐山 大 地震 的 事实 。
But the report was withdrawn very quickly .  ||| 但是 ， 简报 很 快 的 被 收回 了 。
Right up until 1995 , when the United Nations  ' Dr . Kohl came to Beijing to participate in the world Conference on Women and learned about Qinglong for the first time . ||| 直 到 一九九五年 ， 联合国 的 科尔 博士 ， 来到 北京 ， 参加 世界 妇女 大会 ， 才 第一 次 得知 了 ， 有关 青龙 的 消息 ．
The following year , after receiving permission from the Chinese government , this female UN official headed up a team in person and conducted an on-site investigation in Qinglong . ||| 第二 年 ， 在 获得 了 中国 政府 的 批准 之后 ， 这 位 联合国 的 女 官员 亲自 带队 ， 在 青龙 进行 了 实地 考察 ，
Beginning at that time , the Qinglong phenomenon gradually became known to the outside .  ||| 从此 ， 青龙 的 奇迹 才 逐渐 地 被 外人 所 知道 。
Speaking of the Qinglong miracle , there are two people we can not forget ; one is Wang Chunqing and the other is Ran Guangqi . ||| 说到 青龙 奇迹 ， 有 两 个 人 不 能 忘记 ， 一 个 是 王春青 ， 一 个 是 冉广岐 。
At the time Wang Chunqing was in charge of seismic work for the Qinglong County Scientific Committee , and it was he who first brought news of the great earthquake back to Qinglong . ||| 王春青 当时 在 青龙县 科委 主管 地震 工作 ， 是 他 把 大 地震 的 消息 第一 个 带回 了 青龙 。
What do you think the reasons were ?  ||| 你 认为 原因 是 什么 呢 ？ 为什么 青龙 能 做到 ， 唐山 没 做到 ？
Why was Qinglong able to do it and Tangshan was n 't ?  ||| 你 认为 原因 是 什么 呢 ？ 为什么 青龙 能 做到 ， 唐山 没 做到 ？
Oh !  ||| 哎 ！
That 's really difficult to explain in a few words .  ||| 确实 一言难尽 。
Why do you say that ?  ||| 为什么 这么 讲 呢 ？
Qinglong !  ||| 青龙 啊 ！ *T*-1 当时 参加 一九七六年 七月 十四号 吧 ， 参加 ， 群测 群防 交流会 的 。
At the time I was participating , on July 14 , 1976 , I was participating in a joint survey and prevention conference .  ||| 青龙 啊 ！ *T*-1 当时 参加 一九七六年 七月 十四号 吧 ， 参加 ， 群测 群防 交流会 的 。
The local manager was Wang Chunqing , the person responsible for running the Qinglong County Scientific Committee was named Wang Chunqing . ||| *T*-1 主管 地办 的 是 王春青 ， 这 青龙科县 科委 的 *T*-2 主管 地办 的 叫 王春青 ，
He was also on the dais opening the conference .  ||| 他 也 到 台上 开 这个 会 。
Opening this conference , at the time , Wang Chengmin of the National Seismology Bureau came .  ||| 开 这个 会 呢 ， 当时 呢 ， 是 国家 地震局 ， 汪成民 来 的 ，
When Wang Chengmin came , he demanded to address the conference , and he spoke to the bureau 's director , Zha Zhiyuan : I want to address the conference . ||| 汪成民 来 的 时候 呢 他 就 要求 做 大会 发言 ， 跟 局长 查志远 讲 ， 我 要求 做 大会 发言 。
Zha Zhiyuan would n 't let him .  ||| 查志远 ， 没 同意 。
What the reason for that was never became known .  ||| 什么 原因 ， 不得而知 。 他 想 做 震前 发言 ， 他 不 同意 。
He wanted to make a pre-quake speech , and he would n 't allow it .  ||| 什么 原因 ， 不得而知 。 他 想 做 震前 发言 ， 他 不 同意 。
What was the reason ?  ||| 有 任何 理由 吗 ？
What reason ?  ||| 什么 理由 啊 ， 人家 是 副局长 ， 他 是 小组长 。
He was the deputy director of the bureau , he was a group leader .  ||| 什么 理由 啊 ， 人家 是 副局长 ， 他 是 小组长 。
Wang Chengmin thereupon spent two evenings holding two colloquia .  ||| 于是乎 ， 汪成民 啊 ， 就 利用 两 个 晚上 的 时间 ， 召开 了 两 个 座谈会 。
 , Wang Chunqing participated in the first colloquium .  ||| 第一 次 座谈会 王春 就 ， 王春青 就 参加 了 ，
 , uh , he participated in this meeting from start to finish .  ||| 因为 王春青 啊 是 ， 对 这个 会议 是 原原本本 都 参 都 都 他 都 参加 完 了 。
Ah .  ||| 啊 。
Wang Chengmin then reported the pre-quake opinions of a number of units .  ||| 汪成民 呢 就 通报 了 一些 单位 的 震前 意见 。 就 是 他 收到 的 震前 意见 。
Pre-quake opinions that he had received .  ||| 汪成民 呢 就 通报 了 一些 单位 的 震前 意见 。 就 是 他 收到 的 震前 意见 。
He received these opinions and also heard that Tangshan Second Middle School said so ,  ||| 收到 这些 意见 呢 ， 他 又 听 唐山 二 中 又 那么 讲 ，
uh , teacher Tian Jinwu of Tangshan Second Middle School also said like that , that is , earthquake prediction is part of the three essential earthquake requisites , right ? ||| 啊 ， 唐山 二 中 田金武 老师 又 那么 讲 ， 就是说 ，
uh , teacher Tian Jinwu of Tangshan Second Middle School also said like that , that is , earthquake prediction is part of the three essential earthquake requisites , right ? ||| 地震 预报 纳入 地震 三 要素 ， 是 吧 。
In late July or early August a 7 .0 or higher , possibly even an 8 .0 earthquake will occur , and this made a very strong impression on him . ||| 将 发生 ， 七月 底 八月 初 将 发生 七 级 以上 地震 有 可能 达到 八 级 ， 这 本身 就 给 他 打上 了 很 深 的 印象 ，
When the meeting let out , Wang Chunqing dared not delay , and he hurriedly made the long journey to his hometown , Qinglong , because his home was in Qinglong . ||| 王春青 在 会 散 了 以后 ， 丝毫 也 不 敢 耽误 ， ［ ［ ＮＳ ］ ］ 风尘仆仆 地 就 赶到 了 他 的 家乡 ， 青龙 ， 因为 他 家 在 青龙 。
At the time Ran Guangqi was serving as Qinglong County secretary and county head .  ||| 冉广岐 时任 青龙县 县委 书记 兼 县长 ，
After receiving Wang Chunqing 's report , Ran Guangqi immediately convened the county 's standing committee to discuss the earthquake situation . ||| 在 接到 王春青 的 汇报 后 ， 冉广岐 当即 主持 召开 了 县 常委会 讨论 地震 震情 问题 ，
At that time , with the upper levels of government not having issued any earthquake prediction , it was he that faced the risk of losing his position and on July 25 made a decision , that he had to notify everyone of the earthquake situation ||| 在 当时 ， 上级 政府 都 没有 进行 地震 预报 发布 的 时候 ， 是 他 冒着 丢官 的 危险 ， 于 七月 二十五日 作出 决定 ， 必须 在 七月 二十六日 前 将 震情
From that moment , all of Qinglong County went into pre-earthquake mode .  ||| 青龙县 从 那 一 刻 开始 ， 上上下下 都 处于 临震 状态 。
After learning of this , what was Ran Guangqi , as county secretary and county head , thinking and doing ?  ||| 听到 这个 信息 之后 ， 冉广岐 他 作为 县委 书记 ， 县长 ， 当时 他 是 怎么 想 的 ， 怎么 做 的 ？
We had to take the initiative in this .  ||| 这个 板 就 得 咱们 拍 。
Uh , the wolf came , and whose child did he carry off ?  ||| 啊 ， 狼 来 了 谁们 家 的 孩子 谁 抱 着 。
It 's the lives of 470 ,000 people , is n 't it ?  ||| 是 不 是 ， 四十七万 人 的 生命 啊 ！
Is n 't it ?  ||| 是 不 是 ？
The worst case scenario would be losing-LRB-his-RRB-office !  ||| 大不了 就 丢 个 官 什么 的 ！
It did not matter .  ||| 无所谓 。
Right . That was one thing .  ||| 是 吧 ！ 这 是 一 。
The second thing was , criticizing Deng .  ||| 第二 个 呢 说 批 邓 ，
Criticizing Deng , we could put it that way ; the serious matter of criticizing Deng , we did n 't dare not to do , because that was a call from above ! ||| 说 批 邓 啊 咱们 可以 这么 讲 ， 他 批 邓 这个 大 方向 我们 可 不 敢 转 ， 因为 这 是 上头 的 号召 啊 ！
Right !  ||| 是 吧 ！ 上头 的 号召 ， 上头 号召 咱 批 邓 咱 就 批 邓 。
A call from above , they were calling on us to criticize Deng , so we criticized Deng .  ||| 是 吧 ！ 上头 的 号召 ， 上头 号召 咱 批 邓 咱 就 批 邓 。
But we were talking to the ordinary people , and there 's no difference between criticizing at home and criticizing in the courtyard . ||| 但是 呢 咱们 跟 老百姓 讲 ， 在 屋子 里 批 跟 院子 里边 批 没 什么 区别 。
What 's the difference ?  ||| 有 什么 区别 呀 ， 咱们 出来 了 为了 防震 出来 了 ， 照样 批 邓 啊 咱们 在 外头 批 吧 ！
We were out trying to do earthquake prevention , so we just went on criticizing Deng outside !  ||| 有 什么 区别 呀 ， 咱们 出来 了 为了 防震 出来 了 ， 照样 批 邓 啊 咱们 在 外头 批 吧 ！
Our supervisors checked up on us and learned that we were outside criticizing Deng .  ||| 上头 追查 他们 都 知道 我们 在 外头 批 邓 。
That was one problem , they were thinking like that .  ||| 这 是 一 个 问题 他们 这么 考虑 。
Ha , the third thing was , we were really dealing with a major quake .  ||| 哈 ， 他 第三 个 呢 就说 呢 ， 真 抱 着 是 大 震 ，
If there 's no quake , the ordinary people will just see that we  're imperfect .  ||| 如果 是 没有 震 ， 大不了 老百姓 盯 几 个 疙瘩 。
The mosquito sees a few welts and comes back again , right ?  ||| 蚊子 盯 几 个 疙瘩 ， 再 回来 ， 是 吧 ，
The ordinary people will call us a few bad names , when it becomes worse , we bow and leave the stage .  ||| 老百姓 ， 再 骂 咱们 几 句 ， 再 不 行 了 咱们 鞠 个 大 躬 下台 。
But if we did n 't issue an earthquake prediction and there was a real earthquake , we  'd be embarrassed in front of the locals . ||| 但是 如果 是 地震 预报 不 发 真 震 了 ， 咱们 愧对 一 方 的 父老 乡亲 。
Maybe you do n 't acknowledge the debt , but you  'd feel bad about it .  ||| 嘴上 可能 不 认帐 ， 心里 你 过 不 去 。
Ran Guangqi examined the matter thoroughly , and under these circumstances he was decisive and issued an earthquake prediction , and he did n 't tell anyone he was doing it . ||| 冉广岐 就 是 察远 ， 在 这 种 情况 下 他 果断 ， 发布 地震 预报 ， 跟 谁 也 没 打 招呼 。 跟 省 里边 根本 就 没 备案 ，
So basically it was not recorded at the province level .  ||| 冉广岐 就 是 察远 ， 在 这 种 情况 下 他 果断 ， 发布 地震 预报 ， 跟 谁 也 没 打 招呼 。 跟 省 里边 根本 就 没 备案 ，
So I issued the prediction .  ||| 我 就 发布 。
If there was no earthquake , that 's fine , at worst I  'd lose my position .  ||| 不 震 拉倒 ， 大不了 官 丢 了 。
Other people had black gauze caps , and they looked at them as black gauze caps ; I had a black gauze cap , and I treated it as a stupid turtle . ||| 别人 拿着 乌纱帽 当 乌纱帽 ， 我 拿 乌纱帽 ， 当 个 尿鳖子 。 这 原话 。
That 's the original saying .  ||| 别人 拿着 乌纱帽 当 乌纱帽 ， 我 拿 乌纱帽 ， 当 个 尿鳖子 。 这 原话 。
On November 8 , 1976 , the National Seismology Bureau released its seventeenth seismic report .  ||| 一九七六年 十一月 八日 ， 国家 地震局 发出 地震 工作 简报 第十七 期 ，
The report said that the Tangshan earthquake had damaged 180 ,000 homes in Qinglong County , with 7 ,300 of these collapsing , but only one person had died as a direct result of the earthquake . ||| 简报 中 说 ， 唐山 地震 使 青龙县 房屋 损坏 十八万多 间 ， 其中 倒塌 七千三百多 间 ， 但 *T*-1 直接 死于 地震 灾害 的 只 有 一 人 。
The Kailuan Mine Bureau was another miracle .  ||| *T*-1 创造 奇迹 的 还 有 开滦 矿务局 ，
The miracle was that 10 ,000 miners working in Kailuan Mine Bureau mines successfully escaped danger in the Great Tangshan Earthquake , and this established a model for disaster prevention and preparation . ||| 唐山 大 地震 中 开滦 矿务局 井下 万 名 矿工 成功 脱险 的 奇迹 ， 为 人类 防灾 备灾 提供 了 又 一 个 典型 范例 。
Perhaps there are more lessons to be learned from Kailuan than from Qinglong .  ||| 开滦 比 青龙 也许 更 具有 深远 的 指导 意义 。
With seismologists being unable to set a date for an imminent earthquake , how can people carry out effective disaster prevention and preparation work ? ||| 在 地震 科学家 难以 确定 临震 日期 的 情况 下 ， 人类 如何 进行 *T*-1 行之有效 的 防灾 备灾 ？
When the Great Tangshan earthquake hit , why was it that the Kailuan mine was able to keep the mortality rate at only 0 .07 % ? ||| 在 唐山 大 地震 发生 的 时候 为什么 开滦 井下 能够 做到 ， 死亡率 只 有 万分之七 呢 ？
I went down in the mines once , and I thought about this , under those circumstances , their miners , if a real earthquake hits , if they do n 't get them out of there very quickly , that 's a horrendous thing . ||| 我 曾经 下 过 井 我 一 想 这 情况 呢 就是说 ， 在 这 种 情况 下 ， 他们 的 矿工 ， 如果 是 真的 发生 地震 了 ， 如果 人 不 能 迅速 地 撤 上来 ， 那 是 *T*-1 不得了 的
Why ?  ||| 为什么 呢 ？
 , in a mine , if the power goes out , the power goes out and there 's no ventilation .  ||| 这个 ， 作为 这 一 个 矿井 啊 ， 断电 ， 断电 就 停 风 ，
If the power goes out and the ventilation stops , in 40 minutes or so , , uh , gas , underground flooding , uh , that can quickly threaten human life . ||| 断电 停 风 啊 ， 四十 分钟 以上 ， 瓦斯 ， 啊 ， 瓦斯 ， 地下 涌水 ， 啊 ， 就是 会 迅速 地 威胁 人 的 生命 ，
-LRB-Power-RRB-outage ,-LRB-ventilation-LRB-stop , if the power goes out and the ventilation stops for more than forty minutes , so everything has to be done in that time frame . ||| 断 ， 停 ， 就 是 断电 停 风 四十 分钟 以上 ，
-LRB-Power-RRB-outage ,-LRB-ventilation-LRB-stop , if the power goes out and the ventilation stops for more than forty minutes , so everything has to be done in that time frame . ||| 所以 一切 事情 ， 都 得 抢 在 这 一 个 时段 里边 来 完成 。
Otherwise , it 's very difficult to ensure their life safety .  ||| 不然 的话 ， 人 就 很 难 保证 他 的 生命 安全 。
Before the Great Tangshan Earthquake , the Kailuan Mine Bureau did a lot of work to establish feasible measures to ensure that underground miners safely escape dangers . ||| 开滦 矿务局 在 唐山 大 地震 前 曾经 作 了 大量 的 工作 ， 为 井下 矿工 安全 脱险 制定 了 *T*-1 切实 可行 的 措施 。
The Kailuan Mine Bureau set up an earthquake preparedness leadership group , organized at various levels , right .  ||| 开滦 矿务局 呢 成立 了 防震 领导 小组 ， 层层 成立 了 组织 ， 是 吧 ，
What employees in critical departments were supposed to do , right , what the leaders in critical departments were supposed to do , it was all clearly spelled out . ||| 要害 部门 的 职工 怎么 办 ， 是 吧 ， 要害 部门 的 领导 怎么 办 ， 都 有 明确 的 规定 ，
In this document . It 's all clearly spelled out .  ||| 它 这 文件 上 。 都 有 明确 的 规定 ，
So when the big earthquake was near , they did n 't panic , they were able to bring the miners back up safely .  ||| 所以 说 ， 真正 大 震 来临 ， 就 不 慌 ， 就 能够 很 安全 地 把 人 撤 上来 。
So only seven men died .  ||| 所以 说 它 仅仅 死 了 七 个 人 。
The Kailuan Mine Bureau , following the principle that it is better to have a thousand days without an earthquake than one day of unpreparedness , and based on the idea that there will be an earthquake , a large earthquake , and soon , ||| 开滦 矿务局 本着 宁可 千 日 不 震 ， 不 可 一 日 不 防 的 原则 ， 立足于 有 震 ， 大 震 ， 早 震 的 思想 ， 始终 把 井下 的 防震 抗震 工作 摆在 首位 ，
Moreover , they did n 't stop with written earthquake preparedness measures ; they transferred a lot of human and physical resources to carry out shoring-up and maintenance work aboveground and underground . ||| 而且 他们 没有 把 防震 措施 停留 在 文字 上 ， 抽调 了 大批 人力 ， 物力 对 井上 井下 的 抗震 能力 进行 加固 维修 。
So in terms of the Kailuan Mine Bureau , they certainly did n 't pin all their hopes on someone issuing an earthquake forecast . ||| 就是说 呢 ， 作为 开滦 矿务局 来讲 ， 它 并没有 说 ， 寄 希望 于 ， 发布 地震 预报 。
What they did pin their hopes on was , I do n 't care what day the earthquake occurs on , I 'm not afraid .  ||| 它 而是 于 ， 寄 希望 于 就是说 ， 我 不管 你 那 天 发生 ， 我 都 不 怕 。 ． ／
Every day , maybe they said , taking this whatchamacallit , I mean .  ||| 它 天天 的 就是说 ， 几乎 就是说 ， 它 就 是 拿 这个 怎么 说 呢 ， 就是说 ，
It 's like , they were kind of thinking , let 's maintain this army for a thousand days even if we only use it for one hour .  ||| 好像 就是说 ， 有 点 养兵千日 用兵一时 的 意思 吧 ，
 , , every day you have an earthquake and , , I just do what I 'm supposed to do .  ||| 我 每 ， 你 每 天 发生 地震 我 还 都 是 ， 这个 ， 我 还 都 是 该 怎么 办 就 怎么 办 ，
What do I mean when I say I just do what I 'm supposed to do ?  ||| 我 所 说 的 该 怎么 办 就 怎么 办 是 怎么 回 事 呢 ？
From %pw , on the day they established the earthquake office , they began paying attention to earthquake forecasting .  ||| 它 从 一九 ， 它 从 这个 *pro* 成立 地震 办公室 那 天 起 就 开始 抓 地震 预报 ，
Their focus on earthquake forecasting was , I mean , whenever the earthquake hits , the Kailuan Mine Bureau says we have to assure the miners underground . ||| 它 的 地震 预报 抓 呢 ， 是 ， 就是说 ， 你 什么 时间 震 ， 我 开滦 矿务局 井下 矿工 我 得 保证 ，
It 's no good if we ca n 't , , get the miners back up .  ||| 矿工 ， 我 不 能 ， 撤 不 上来 ， 人 撤 不 上来 不 行 。
When the Great Tangshan Earthquake hit , the Kailuan Mine Bureau was situated in the extreme quake zone .  ||| 唐山 大 地震 爆发 ， 开滦 矿务局 地处 （ （ 极 ） ） 震区 ，
Eight mines and one under construction were all in the 9 to 11 intensity zone .  ||| 八 个 矿口 一 个 建设 中 的 矿 均 处在 九 到 十一 度 裂度区 ，
More than 70 % of the buildings collapsed or were seriously damaged ; the power grid , the transport system and mineshaft elevators , ventilation and drainage facilities were severely damaged . ||| 百分之七十 以上 的 建筑 倒塌 或 严重 破坏 ， 输供电 系统 ， 运输 系统 以及 矿井 提升 ， 通风 排水 等 关键 设施 破坏 严重 ，
At the time , about half the Kailuan miners were stuck underground .  ||| 当时 开滦 矿工 *T*-1 滞留 地下 的 有 一半 人 左右 。
In the moment that the earthquake hit , how could they be gotten out ?  ||| 地震 发生 的 那 一 刻 ， 当时 他们 是 怎么 撤退 的 ？
At the time , how to get them out , , , at the time , this involved several problems , very typical ones .  ||| 当时 怎么 撤退 的 ， 按照 他们 的 这个 这个 当时 呢 也 有 ， 这个 有 几 处 啊 ， *T*-1 很 典型 的 。
Um , for example , , the Lu jiatuo mine had a vertical-shaft ladder , and at the time there were more than a thousand people in the mine , male , female , old and young . ||| 嗯 你 比方说 吕家陀 矿务 呵 ， 吕家陀 ， 吕家陀 矿 ，
