Abramov had a car accident in Moscow last night and was seriously injured .  ||| 阿布拉莫夫 昨天 晚上 在 莫斯科 遭遇 了 车祸 ， 并且 身受 重伤 。
This is Xu Li .  ||| 我 是 徐丽 。
Next , please stay with us for the Focus Today program hosted by Wang Shilin .  ||| 接下来 请 大家 收看 *T*-1 由 王世林 主持 的 今日 关注 节目 。
Good-bye !  ||| 再见 ！
News and events happen every day .  ||| 每 天 都 有 新闻 事件 发生 ， 您 所 关心 的 正 是 我们 所 关注 的 ，
What you are interested in is exactly what our focuses are .  ||| 每 天 都 有 新闻 事件 发生 ， 您 所 关心 的 正 是 我们 所 关注 的 ，
This is CCTV Focus Today .  ||| 中国 中央 电视台 今日 关注 ，
Prior to the APEC meeting , Japanese Prime Minister Junichiro Koizumi visited Yasukuni Shrine for the fifth time and was strongly condemned by Asian nations such as China and South Korea . ||| ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 会议 举行 前 ， 日本 首相 小泉纯一郎 第五 度 参拜 靖国神社 ， 受到 中 韩 等 亚洲 国家 严厉 谴责 。
What kind of situation will Japan find itself in at the APEC summit ?  ||| ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 峰会 上 ， 日本 将 面临 怎样 的 处境 ？
What heavy prices will Japan pay for Koizumi 's paying respect to the ghosts ?  ||| 日本 为 小泉 拜 鬼 将 付出 怎样 沉重 的 代价 ？
Focus Today is coming up in a moment .  ||| 稍候 请 看 今日 关注 。
Hello , dear viewers !  ||| 您 好 ， 观众 朋友 ！
Welcome to the live broadcast of Focus Today on the Chinese International Channel .  ||| 欢迎 *PRO* 收看 中文 国际 频道 正在 直播 的 今日 关注 。
The APEC meeting is being held these days in Pusan , South Korea .  ||| ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 会议 呢 ， 这 几 天 正 在 韩国 的 釜山 举行 。
Japanese Prime Minister Junichiro Koizumi also arrived in Pusan this afternoon , beginning his APEC trip this time .  ||| 日本 首相 小泉纯一郎 今天 下午 呢 也 抵达 釜山 ， 开始 了 他 此 次 的 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 之 行 。
Well , prior to this , many analysts all think that during his trip to the APEC meeting in Pusan , this time , Junichiro Koizumi may likely be isolated by various parties . ||| 那么 在 此 之前 呢 ， 很多 分析 人士 都 认为 小泉纯一郎 的 此 次 釜山 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 之 行 呢 ， 很 有 可能 被 各 方 孤立 ，
The reason is that in its persistent alignment with the US , Japan has ignored its relations with other countries , especially its Asian neighboring countries . ||| 原因 呢 ， 就 是 日本 呢 一味 地 向 美国 靠拢 ， 而 忽视 了 和 其他 国家 ， 尤其是 亚洲 邻国 的 关系 。
What is clearly remembered by its Asian neighboring countries is that on October 17 this year , in spite of opposition , Junichiro Koizumi stubbornly , ah , visited Yasukuni Shrine for the fifth time during the four years since he took office . ||| *T*-1 更 让 他 的 亚洲 邻国 记忆犹新 的 是 在 今年 的 十月 十七号 ， 小泉 呢 不 顾 反对 ， 执意 参拜 了 ， 啊 ， 他 这个 上任 四 年 以后 的 第五 次 执意 参拜 这个 靖国神社
Well , what kind of situation will Japan find itself in at the APEC summit ?  ||| 那么 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 峰会 上 ， 日本 呢 将 会 面临 什么样 的 处境 ？
What kind of impact will Koizumi 's lame diplomacy produce on the international image of Japan ?  ||| 小泉 的 这 种 跛脚 的 外交 会 给 日本 的 国际 形象 造成 什么样 的 影响 ？
These are all the topics we will be focusing on today .  ||| 这些 呢 ， 都 是 我们 今天 所 要 关注 的 话题 。
We have invited to our studio Professor Liu Jiangyong and Professor Jin Xide , two experts on Japan issues .  ||| 演播室 呢 请到 了 两 位 日本 问题 专家 ， 刘江永 教授 和 金熙德 教授 ，
Welcome you two to the studio to participate in our program .  ||| 欢迎 两 位 到 演播室 来 参与 我们 的 节目 。
Well , we all know that Koizumi arrived in Pusan this afternoon .  ||| 那么 我们 都 知道 了 ， 今天 下午 呢 ， 小泉 抵达 了 釜山 ，
In the afternoon he met with South Korean President Roh Moo-hyun .  ||| 并且 呢 在 下午 呢 ， 和 韩国 总统 卢武铉 举行 了 会谈 ，
The two met .  ||| 见 了 ， 两 人 见 了 面 ，
Well , from the information and the situation you have learned , how would you two interpret some messages sent out by their meeting this time ? ||| 那么 从 你们 嗯 ， 所 了解 的 信息 和 情况 来看 ， 你们 俩 怎么样 解读 他们 这 次 会面 啊 ， 所 传达 出来 的 一些 内容 ？
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 啊 首先 呢 ， 我 是 觉得 的 啊 ， 这个 ， 这 次 啊 ， 小泉 啊 ， 到 釜山 ， 他 呢 ， 呃 怀 着 一 种 什么 呢 ， 就 是 ， 企图 通过 多边 场合 ， 啊 跟 这个 韩国
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 嗯 嗯 。
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 那么 来
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 嗯 嗯 。
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 展示 呢 ， 尽管 他 参拜 了 靖国神社 ，
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 嗯 嗯 。
Ah , first of all , I think , ah , , this time , ah , when Koizumi arrived in Pusan , ah , he had this in his mind .  ||| 但是 呢 ， 也 没有 影响 到 他 和 邻国 的 关系 ，
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 啊 首先 呢 ， 我 是 觉得 的 啊 ， 这个 ， 这 次 啊 ， 小泉 啊 ， 到 釜山 ， 他 呢 ， 呃 怀 着 一 种 什么 呢 ， 就 是 ， 企图 通过 多边 场合 ， 啊 跟 这个 韩国
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 嗯 嗯 。
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 那么 来
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 嗯 嗯 。
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 展示 呢 ， 尽管 他 参拜 了 靖国神社 ，
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 嗯 嗯 。
That is , through multilateral meetings , he attempted to meet with , ah , leaders of South Korea or other Asian nations , Uh-huh . so as to--Uh-huh . demonstrate that even though he visited Yasukuni Shrine , Uh-huh . his relations with ||| 但是 呢 ， 也 没有 影响 到 他 和 邻国 的 关系 ，
Uh-huh .  ||| 嗯 嗯 。
However , actually , today President Roh Moo-hyun of the hosting country of the meeting , Uh-huh . well , based on his meeting with Koizumi , I think , actually , it shows that a series of issues such as his visit to Yasukuni Shrine have ||| 但是 实际上 呢 ， 通过 今天 ， 啊 作为 这个 ， 呃 ， 卢武铉 总统 他 是 这 次 会议 的 主席国 啦 。
However , actually , today President Roh Moo-hyun of the hosting country of the meeting , Uh-huh . well , based on his meeting with Koizumi , I think , actually , it shows that a series of issues such as his visit to Yasukuni Shrine have ||| 嗯 嗯 。
However , actually , today President Roh Moo-hyun of the hosting country of the meeting , Uh-huh . well , based on his meeting with Koizumi , I think , actually , it shows that a series of issues such as his visit to Yasukuni Shrine have ||| 那么 他 呢 ， 会见 ， 小泉 的 情况 来看 ， 我 认为 呢 ， 实际上 呢 ， 反映 出 呢 ， 就是 他 参拜 靖国神社 等等 一系列 的 问题 呢 ， 对 两 国 关系 啊 ， 确实 投下 了 非常 浓重 的 这个
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Yes .  ||| 对 。
Well , during this meeting , er , President Roh Moo-hyun clearly pointed out , ah , what did he point out ? That is , er , the visit to Yasukuni Shrine by Japanese leaders , politicians , and statesmen , is a , , provocation , ah , to South Korea . ||| 那么 在 这个 会谈 当中 呢 ， 呃 ， 卢武铉 总统 就 明确 指出 ， 啊 指出 什么 呢 ？ 就 是 呃 ， 日本 的 领导人 和 政客 ， 政治家 ， 参拜 靖国神社 ， 这 是 对 韩国 的 挑战 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , at the same time , he pointed out , that is , er , the issue of the prime minister 's visit to Yasukuni Shrine , the textbook issue , and the territorial dispute . ||| 那么 同时 呢 ， 指出 呢 ， 就 是 ， 呃 ， 首相 参拜 靖国神社 问题 ， 以及 呢 ， 教科书 问题 ， 还 有 呢 ， 这个 领土 争端 问题 ，
Uh-huh .  ||| 嗯 嗯 。
All these must be properly resolved before the relations between the two countries can improve .  ||| 这些 呢 ， 要 得到 一 个 合理 的 解决 ， 那么 两 国 的 关系 才 能 改善 。
Uh-huh .  ||| 嗯 嗯 ，
Well , Koizumi , he also , that is to say , er , argued slyly for himself , ah , he said , er , that his visit was not to glorify the war . ||| 那么 小泉 呢 ， 他 也 是 表示 ， 就是说 ， 呃 ， 给 自己 狡辩 ， 啊 ， 他 说 呢 ， 呃 ， 这个 他 去 参拜 并不 是 美化 战争 。
Uh-huh .  ||| 嗯 嗯 。
Nor was this for anything else .  ||| 也 不 是 呢 ， 这个 去 嗯 ， 干 别的 ， 只是 说 呢 ， 表示 对 战亡者 的 一 个 哀悼 。
It was only done to express condolences on the war dead .  ||| 也 不 是 呢 ， 这个 去 嗯 ， 干 别的 ， 只是 说 呢 ， 表示 对 战亡者 的 一 个 哀悼 。
Uh-huh .  ||| 嗯 嗯 。
Well , at the same time , that is , it was to express that there shall be no more war in future .  ||| 那么 呢 ， 同时 呢 ， 就是 ， 表示 呢 ， 今后 不 再 战 。
However , this was still not accepted by the South Korean side .  ||| 但是 这 并没有 得到 呢 这个 韩国 方面 的 认可 。
Well , after the meeting between the two sides , we were very interested in this .  ||| 那么 ， 双方 谈完 了 之后 呢 ， 我们 很 关注 ，
That is , originally this year marks the 40th anniversary of the establishment of diplomatic relations between South Korea and Japan . ||| 就是 本来 呢 这个 韩国 和 日本 今年 是 ， 呃 。 邦交 啊 ， 建交 啊 四十 周年 。
fortieth anniversary .  ||| 四 ， 四十 周年 。
In addition , is n 't this year the year of the South Korean-Japanese friendship ?  ||| 而且 今年 不 是 韩 日 韩 友好 年 嘛 ，
Yes , yes , yes .  ||| 对 对 对 ，
Uh-huh .  ||| 嗯 嗯 。
Yes , yes , the year of friendship .  ||| 对 对 友好 年 。
Uh-huh .  ||| 嗯 嗯 。
Er , well , according to the original arrangement , that is , President Roh Moo-hyun should pay a visit to Japan , ah , at the end of this year . ||| 呃 那么 ， 按照 原来 的 预定 呢 ， 就是 卢武铉 总统 应该 在 年末 啊 访问 这个 日本 。
Uh-huh .  ||| 嗯 嗯 。
However , this matter was not even talked about during this , eh , bilateral summit meeting .  ||| 但是 呢 这 一 次 双方 呢 ， 双方 的 高峰 的 会晤 ， 居然 连 这个 事情 都 没有 谈 ， 可 见 呢 ， 也 就 是 泡汤 了 ， 我 认为 。
I think this shows that it is not going to happen .  ||| 但是 呢 这 一 次 双方 呢 ， 双方 的 高峰 的 会晤 ， 居然 连 这个 事情 都 没有 谈 ， 可 见 呢 ， 也 就 是 泡汤 了 ， 我 认为 。
Right .  ||| 对 。
Uh-huh .  ||| 嗯 嗯 。
Some commentaries said that when Koizumi went to meet with Roh Moo-hyun this time , it was like clutching at a straw to save his life . ||| 有 评论 说 这 次 小泉 去 跟 卢武铉 见面 呢 ， 好象 是 感觉 要 专 抓住 了 一 根 *T*-1 救命 的 稻草 一样 ，
Eh , it means that you see , although many neighboring countries are complaining about me , my image may return to a better one after I met with Roh Moo-hyun . ||| 嗯 ， 意思 就 是 说 ， 你 看 ， 虽然 很多 这个 邻国 对 我 有 意见 ， 但是 呢 ， 我 跟 卢武铉 见面 以后 呢 ， 很 可能 对 我 的 形象 ， 恢复 还 会 好 一点 。
However , based on the outcome , just as Professor Liu introduced , it was equivalent to going there to get criticized again . ||| 但是 从 这个 结果 来看 呢 ， 就 象 刚才 刘 教授 介 ， 介绍 的 ， 等于 是 到 那儿 还是 挨 了 批 。
Right .  ||| 对 ，
Well , was n 't it that things went contrary to his wishes ?  ||| 那么 是 不 是 也 是 事与愿违 ？
Uh-huh , to him .  ||| 嗯 ， 对 他 来说 。
 , that is to say , to Japan , to Prime Minister Koizumi , this is a very difficult diplomatic journey .  ||| 他 这个 就说 ， 对 日本 来说 ， 对 小泉 首相 来说 ， 这个 ， 这 次 外交 是 非常 艰难 的 一 次 旅程 吧 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 ， 嗯 。
Well , to be able to meet with Roh Moo-hyun was originally the only remedy he could count on .  ||| 那么 能够 见到 卢武铉 本来 是 他 惟一 *pro* 能够 依赖 的 一 个 补救 措施 ，
Uh-huh .  ||| 嗯 嗯 。
However , Roh Moo-hyun actually met with him ceremonially as a host because APEC held the meeting in South Korea .  ||| 但是 呢 ， 实际上 卢武铉 是 因为 在 韩国 召开 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ ， 那么 ， 作为 东道主 啊 ， 就 礼 ， 礼节性 的 见 他 一下 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
But , he seized the opportunity fully to express the wish of the South Korean government and people .  ||| 但是 呢 ， 充分 抓住 这个 机会 啊 ， 表达 了 韩国 政府 和 人们 的 愿望 ，
Uh-huh .  ||| 嗯 嗯 。
What he meant by the wish was to stop visiting Yasukuni Shrine .  ||| 这个 他 的 意愿 ， 就是说 ， 停止 参拜 靖国神社 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
So , contrary to Koizumi 's diplomatic purpose , he not only failed to sidestep the issue of the visit , but rather exposed , this scandal to the entire world . ||| 那么 这个 小泉 对 他 本身 的 这个 外交 目的 来说 ， 非但 没 让 这个 参拜 这 件 事情 躲 过去 ， 而且 呢 ， 就 是 把 这 种 ， 这个 丑 ， 丑闻 那 ， 暴露 与 全 ， 全 这个 天下
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
So , from the bottom of his heart , he might feel it was even worse than not meeting at all .  ||| 那么 可能 是 说 ， 从 心里 说 ， 还 不如 不 见 了 ，
Uh-huh .  ||| 嗯 嗯 。
So , this only hope of his was also destroyed .  ||| 所以 ， 这个 惟一 的 一 个 ， 他 的 一 个 希望 也 破灭 了 吧 。
Uh-huh .  ||| 嗯 嗯 。
We have just started with this topic of the meeting between President Roh Moo-hyun and Koizumi .  ||| 这 是 我们 上来 的 ， 先 结合 卢武铉 总统 和 小泉 会见 的 这个 话题 开始 。
Well , actually , regarding , um , Koizumi 's attendance at this APEC summit , people are more interested in the relations between Japan and its Asian neighboring countries , including the kind of alliance relationship between the US and Japan , ||| 那么 实际上 呢 ， 关于 这个 呃 ， 小泉 这 次 出席 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 的 这个 峰会 啊 ， 大家 更 关心 的 是 ， 比如说 日本 和 亚洲 邻国 的 关系 ，
Uh-huh .  ||| 嗯 嗯 。
Yeah .  ||| 是 。
Well , speaking of the relationship issue , we have noticed that during US President Bush 's visit in Japan , Koizumi made some declaration of this position . ||| 那么 说到 这个 关系 问题 呢 ， 我们 注意 到 ， 在 美国 总统 布什 访问 日本 的 时候 呢 ， 小泉 曾经 做 过 这样 的 一些个 表态 。
He said , as long as we get on good terms with the US , then it follows naturally we will have good relations with our Asian neighboring countries . ||| 他 说 呢 ， 我们 只要 跟 美国 搞好 关系 ， 那么 接下来 呢 ， 自然而然 地 跟 亚洲 邻国 的 关系 就 会 搞好 了 。
Well , regarding this attitude he has adopted , well , two professors , how would you look at Koizumi 's diplomatic thinking ? ||| 那么 他 持 这样 一 种 态度 ， 那么 两 位 教授 ， 你们 怎么 来 看待 小泉 的 这 种 外交 思路 ， ？
Well , this is because he is still using the pre-Cold-War diplomatic thinking after the Cold War , that is , the United States is the number one superpower in the world . ||| 那么 这个 因为 说 是 在 冷战 之后 啊 ， 他 还 沿用 冷战 之前 的 那个 外交 思路 ， 就 是 呢 ， 美国 是 世界 第一 ， 呃 ， 超级 大 国 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Japan is the second largest economy in the world .  ||| 日本 呢 ， 是 世界 第二 经济 大 国 ，
Uh-huh .  ||| 嗯 嗯 。
As long as these two countries stand together , then it seems that other countries could not do anything to them .  ||| 只要 这 两 家 站 在一起 ， 那么 其他 国家 好象 拿 他 呢 ， 没有 什么 奈何 ，
Uh-huh .  ||| 嗯 嗯 。
Well , this is actually a very overbearing image .  ||| 那么 实际上 这 是 一 种 很 霸道 的 这样 一 种 形象 。
Uh-huh .  ||| 嗯 嗯 。
Well , looking at the situation in Asia , actually , it is exactly the other way round .  ||| 那么 ， 从 亚洲 的 情况 来看 ， 实际上 呢 ， 恰恰 是 相反 的 。
Uh-huh .  ||| 嗯 嗯 。
That is to say , if it does not get on good terms with its Asian neighboring countries , then in reality the US will become even more hard-line in its diplomacy with Japan . ||| 就是说 ， 如果 不 搞好 跟 亚洲 邻国 的 关系 ， 那么 实际上 呢 ， 美国 呢 ， 在 呃 ， 对 日本 的 外交 来说 ， 会 更加 强硬 ，
As for Japan , to the US , it furthermore has lost some assets , diplomatic assets when making negotiations with the US .  ||| 而 日本 呢 ， 对 美国 来说 呢 ， 更 丧失 了 跟 美国 呢 ， *pro* 应该 说 ， 呃 谈判 的 一些 这个 资本 ， 外交 资本 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , just recently , it 's needless for us to say , er , that Japan 's relations , we can say , with its neighboring countries this year have suffered overall deterioration . ||| 那么 就 是 在 最近 ， 我们 不 用 说 ， 呃 日本 跟 其他 国家 的 关系 ， 可以 说 呢 ， 在 邻国 的 关系 当中 呢 ， 今年 是 *pro* 整体 恶化 的 一 年 。
These include Japan 's relations with South Korea , China , and Russia which are all deteriorating , well , even including its relations with the US . ||| *T*-1 包括 日本 跟 韩国 ， 中国 以及 呢 ， 和 俄罗斯 ， 关系 都 在 恶化 。 那么 就是 包括 跟 美国 ， 的 关系 在内 ，
In fact , , even today , we also noticed a piece of news that although at , um , the recent two-plus-two meeting , er , the US and Japan again reached an intermediate report , Uh-huh . Uh-huh . Uh-huh . Well , today , actually the head of Japan 's ||| 实际上 我们 就 是 在 今天 我们 还 注意 到 一 个 消息 ， 就是说 呢 ， 呃 虽然 在 二 加 二 ， 这个 最近 的 一 次 二 加 二 ， 这个 ， 呃 ， 又 ， 美国 和 日本 又 达成 了 一 个 中间 的 报告 。
In fact , , even today , we also noticed a piece of news that although at , um , the recent two-plus-two meeting , er , the US and Japan again reached an intermediate report , Uh-huh . Uh-huh . Uh-huh . Well , today , actually the head of Japan 's ||| 嗯 嗯 。
In fact , , even today , we also noticed a piece of news that although at , um , the recent two-plus-two meeting , er , the US and Japan again reached an intermediate report , Uh-huh . Uh-huh . Uh-huh . Well , today , actually the head of Japan 's ||| 嗯 。
In fact , , even today , we also noticed a piece of news that although at , um , the recent two-plus-two meeting , er , the US and Japan again reached an intermediate report , Uh-huh . Uh-huh . Uh-huh . Well , today , actually the head of Japan 's ||| 嗯 嗯 。
In fact , , even today , we also noticed a piece of news that although at , um , the recent two-plus-two meeting , er , the US and Japan again reached an intermediate report , Uh-huh . Uh-huh . Uh-huh . Well , today , actually the head of Japan 's ||| 那么 在 今天 呢 ， 实际上 ， 日本 的 防卫厅 长官 ， 又 是 向 美方 提出 啊 ， 好象 有点儿 感觉 反悔 了 ， 为什么 ？
why ?  ||| 实际上 我们 就 是 在 今天 我们 还 注意 到 一 个 消息 ， 就是说 呢 ， 呃 虽然 在 二 加 二 ， 这个 最近 的 一 次 二 加 二 ， 这个 ， 呃 ， 又 ， 美国 和 日本 又 达成 了 一 个 中间 的 报告 。
why ?  ||| 嗯 嗯 。
why ?  ||| 嗯 。
why ?  ||| 嗯 嗯 。
why ?  ||| 那么 在 今天 呢 ， 实际上 ， 日本 的 防卫厅 长官 ， 又 是 向 美方 提出 啊 ， 好象 有点儿 感觉 反悔 了 ， 为什么 ？
Uh-huh .  ||| 嗯 嗯 。
That is , a bit regretful .  ||| 就 是 有点儿 后悔 了 。
Because , according to the two-plus-two intermediate report just reached , the US military bases in Japan should undergo adjustment . ||| 因为 什么 呢 ？ 根据 *T*-1 刚刚 达成 的 二 加 二 这样 一 个 呃 中间 报告 呢 ， 美国 的 军事 基地 啊 ， 在 日本 应该 进行 一 个 调整 。
However , it was met with strong opposition from the general public in Japan .  ||| 可是 呢 ， 遇到 了 日本 老百姓 强烈 的 反对 ， 这样 他 还 有点儿 落实 不 了 。
So it may be hard to implement .  ||| 可是 呢 ， 遇到 了 日本 老百姓 强烈 的 反对 ， 这样 他 还 有点儿 落实 不 了 。
Uh-huh .  ||| 嗯 嗯 。
So , now the JDA head came to talk with the US , saying , whether our interests can be taken into consideration again , er , in this intermediate report . ||| 这样 呢 ， 现在 防卫厅 长官 又 来 跟 美国 说 ， 是 不 是 在 呃 这个 中间 报告 里 再 考虑 呢 ， 我们 的 利益 ，
That is , between the US and Japan , centering upon this intermediate report , actually the deal is again partially completed . ||| 就是 ， 这样 是 美国 和 日本 之间 呢 ， 围绕 这个 中间 报告 呢 ， 实际上 又 是 一 锅 夹生饭 。
Uh-huh .  ||| 嗯 嗯 。
So , such a prime minister like Koizumi , who blindly follows the US as the guideline of his diplomacy , was rarely seen even during the Cold War era . ||| 所以 像 小泉 这样 ， 就说 ， 他 的 外交 执意 这个 ， 追随 美国 为 外交 原则 的 ， 这样 的 首相 啊 ， 在 冷战 时期 也 是 非常 少见 的 。
Uh-huh .  ||| 嗯 嗯 。
We know that in 1957 Japan had three diplomatic principles .  ||| 我们 知道 这个 ， 日本 五七年 就 有 一 个 外交 三 原则 嘛 。 就是说 ， 一定 要 处理 好 与 西方 国家 ， 还有 亚洲 国家 ， 还有 联合国 的 关系 。
That is to say , it must take good care of its relations with the Western countries , Asian countries , and the United Nations . ||| 我们 知道 这个 ， 日本 五七年 就 有 一 个 外交 三 原则 嘛 。 就是说 ， 一定 要 处理 好 与 西方 国家 ， 还有 亚洲 国家 ， 还有 联合国 的 关系 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
But now , Koizumi is like a stick , let 's say , a post .  ||| 但 现在 小泉 就 是 一 根 筋 嘛 ， 就 说 一 根 支柱 。
Right .  ||| 对 。
It takes three points to support a plane .  ||| 以 三 个 点 才 能 撑起 一 个 面 来 。
Yeah .  ||| 对 。
So , it turned out that they had such stuff on the surface .  ||| 原来 这个 他们 表面 还 有 过 这么 个 东西 。
Well , some prime ministers before Koizumi at least would still properly deal with and balance the relations with America , with the US and Asia , in particular , with China , ah . ||| 那么 至少 ， 这个 小泉 之前 的 一些 首相 还是 要 正确 处理 ， 就 平衡 一下 美洲 ， 与 美国 关系 和 与 亚洲 关系 ， 尤其 与 中国 等 关系 啊 ，
Uh-huh .  ||| 嗯 嗯 。
Well , when it comes to Koizumi , he only takes good care of the relations with the US .  ||| 那么 这 到 了 小泉 就说 。 只 有 处理 好 对 美 关系 ，
Right .  ||| 对 。
In fact , he will surely fail to take good care of the relations with the US because if you can not win the trust of your Asian neighboring countries , the US will not fully respect such a country . ||| 实际 是 对 美国 关系 肯定 处理 不 好 的 ， 因为 你 没有 做为 这个 亚洲 邻国 的 ， 这个 *T*-1 得 不 到 信任 的 国家 ， 美国 对 这样 一 个 国家 是 不 会 充分 尊重 的 。
Uh-huh .  ||| 嗯 嗯 。
