--basically , it was unanimously agreed upon by the various relevant parties .  ||| 基本上 得到 了 有关 各 方 的 一致 赞同 ，
In addition , what measures did relevant departments take to resolve issues such as waste discharge , heating , and communication , in order to ensure that the lives of citizens were not affected ? ||| 另外 呢 ， 为了 确保 市民 的 生活 不 受 影响 ， 有关 部门 又 采取 了 哪些 措施 来 解决 排污 ， 供暖 ， 通讯 等 问题 ？
Well , we have invited two honorable guests to the studio today to follow this topic with us .  ||| 那么 今天 呢 ， 演播室 请到 了 两 位 嘉宾 一起 和 我们 来 关注 这样 的 话题 。
One of the two honorable guests in the studio is Professor Zhou Hanhua from the Institute of Law of the Chinese Academy of Social Sciences . ||| 演播室 的 两 位 嘉宾 呢 ， 一 位 是 中国 社会 科学院 法学所 的 周汉华 教授 ， 您 好 。
Hello .  ||| 演播室 的 两 位 嘉宾 呢 ， 一 位 是 中国 社会 科学院 法学所 的 周汉华 教授 ， 您 好 。
Next is Yang Yang , a host of Beijing Traffic Radio Station .  ||| 还 有 一 位 呢 是 北京 交通台 的 主持人 ， 杨洋 ， 您 好 。
Hello .  ||| 还 有 一 位 呢 是 北京 交通台 的 主持人 ， 杨洋 ， 您 好 。
Welcome both of you to the studio to participate in our program .  ||| 欢迎 两 位 呢 来 演播室 参与 我们 的 节目 ，
Well , I especially want to know , ha , how the two of you found out the news on the day of the accident ?  ||| 那么 我 特别 想 知道 哈 ， 就 是 事故 发生 的 当天 ， 你们 两 位 是 通过 什么样 的 方式 来 知道 这个 信息 的 ？
Ah , , about 11:00 m . yesterday , ah , I happened to find out through an SMS when I was outside .  ||| 啊 ， 我 正好 是 那个 昨天 那个 中午 啊 通过 十一点 ， 十一点钟 左右 ， 正好 在 外面 通过 这个 短信 收到 ，
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 。
It happened that I was going to have lunch with a friend , um , at noon .  ||| 正好 因为 也 和 朋友 这个 ， 这个 中午 一起 吃饭 。
And then , the friend first sent me an SMS , Uh-huh . saying he would come pick me up to go together .  ||| 然后 ， 首先 是 朋友 给 我 打 一 个 短信 ，
And then , the friend first sent me an SMS , Uh-huh . saying he would come pick me up to go together .  ||| 嗯 。
And then , the friend first sent me an SMS , Uh-huh . saying he would come pick me up to go together .  ||| 说 本来 接 我 一起 过去 ， 然后 就 收到 幺八六零 的 短信 。
After that , I received an SMS from 1860 .  ||| 然后 ， 首先 是 朋友 给 我 打 一 个 短信 ，
After that , I received an SMS from 1860 .  ||| 嗯 。
After that , I received an SMS from 1860 .  ||| 说 本来 接 我 一起 过去 ， 然后 就 收到 幺八六零 的 短信 。
Uh-huh , it was through an SMS .  ||| 嗯 ， 是 通过 短信 的 方式 ，
And you , Yang Yang ?  ||| 杨洋 你 呢 ？
A friend happened to call me .  ||| 我 是 正好 一 个 朋友 给 我 打 电话 。
You were not at work that day ?  ||| 你 没 在 上班 ， 那 天 ？
No .  ||| 我 没有 ， 然后 中午 的 时候 台 里 就 给 我 打 电话 说 ， 那个 京广桥 这边 有 事情 了 ， 然后 呢 马上 到 台 里 去 研究 下面 的 节目 。
The station called me at noon and said something happened at Jingguang Bridge and that I had to go to the station immediately to research the upcoming program . ||| 我 没有 ， 然后 中午 的 时候 台 里 就 给 我 打 电话 说 ， 那个 京广桥 这边 有 事情 了 ， 然后 呢 马上 到 台 里 去 研究 下面 的 节目 。
Uh-huh , that means , er , you found out the accident through an information source at the station .  ||| 嗯 ， 就是说 呃 是 通过 台 里面 的 一 个 信息 的 渠道 知道 这儿 出 了 这样 的 事故 。
Right , right , right .  ||| 对 ， 对 ， 对 。
Uh-huh .  ||| 嗯 。
Well , like Professor Zhou , I also received this news , ha , through a mobile phone SMS .  ||| 那么 我 呢 跟 这个 周 教授 是 一样 的 ， 我 也 是 通过 这个 手机 短信 收到 了 这样 一 个 消息 ， 哈 。
At that time , , it can be said that this SMS was among the many , ha , SMS containing New Year wishes , like Happy New Year , received after the start of the New Year . ||| 当时 呢 ， 我 ， 可以 说 这 ， 这 条 短信 呢 是 在 新年 到来 以后 众多 的 哈 祝贺 新年 呀 ， 什么 新年 快乐 ， 这样 的 短信 中间 的 一 条 。
Uh-huh .  ||| 嗯 。
Ah , actually I felt a lot of warmth when I received that SMS .  ||| 啊 ， 实际上 收到 这 条 短信 呢 感觉 到 非常 的 温暖 ，
Although we live in the west instead of the east and it did not affect us much , I think it is very useful , ah , to inform people of this kind of news . ||| 虽然 我们 生活 在 西部 不 是 在 东部 ， 对 我们 影响 不 是 很 大 。 但是 呢 ， 我 觉得 有 这样 一 个 消息 告诉 大家 呢 是 非常 有用 的 啊 。
Yes , exceptionally .  ||| 对 ， 很 特别 。
Yes , exceptionally .  ||| 哎 ， 很 特别 。
Well , what in fact was the content of that SMS ?  ||| 那么 这 条 短信 到底 是 个 什么样 内容 呢 ， 我们 通过 这个 画面 呢 来 看 一下 哈 。
Let 's take a look via this footage , ha .  ||| 那么 这 条 短信 到底 是 个 什么样 内容 呢 ， 我们 通过 这个 画面 呢 来 看 一下 哈 。
I remember the SMS was written like this at that time , saying that , ah , there was a sewage pipe leakage accident on the side road at the southeast corner of Jingguang Bridge at East Third Ring Road , and , well , traffic supervision was ||| 当时 我 记得 是 手机 短信 啊 ， 是 这样 写 的 ，
I remember the SMS was written like this at that time , saying that , ah , there was a sewage pipe leakage accident on the side road at the southeast corner of Jingguang Bridge at East Third Ring Road , and , well , traffic supervision was ||| 说 这个 ， 啊 ， 东三环 京广桥 的 东南角 辅路 发生 了 污水 管线 的 发生 了 这个 漏水 事故 ， 那么 ， 东三环 ， 京广桥 ， 朝阳路 附近 呢 实行 了 交通 管制 ， 请 车辆
Some car owners said that it was very good that the SMS was sent .  ||| 有 车主 表示 ， 说 这 条 短信 呢 发 的 非常 的 好 ，
Furthermore , there was one last sentence in that SMS thanking citizens for their cooperation and support .  ||| 而且 呢 ， 这 条 短信 最后 还 有 一 句 话 说 ， 感谢 市民 的 配合 和 支持 。
Ah , after the SMS was sent , , I felt it seems to be the first time that Beijing Municipality , ah , used an SMS to give notification at the time of a public emergency . ||| 啊 ， 这 条 短信 发 了 以后 呢 我 觉得 ， 从 我 感觉 好象 是 作为 北京市 啊 ， 是 头 一 条 在 *pro* 遇到 了 公共 突发 事件 的 时候 ， 通过 短信 的 方式 来 告知
I do n 't know , all of us are living in Beijing , is this the first time , Professor Zhou ?  ||| 我 不 知道 ， 咱们 都 生活 在 北京 ， 是 不 是 第一 次 ， 周 教授 ？
Yes , in terms of an official notification , this should be the first time one was sent officially through 1860 .  ||| 对 ， 从 这个 官方 的 这个 发布 来说 ， 通过 这个 官方 的 形式 ， 幺八六零 的 形式 发 这 应该 是 第一 次 。
Uh-huh .  ||| 嗯 。
Of course , in private life , people have used SMS countless times to spread news .  ||| 当然 大家 私下 生活 当中 这个 用 短信 来 告诉 消息 已经 很多 次 ，
Yes .  ||| 对 。
Other places in the country must have used this too .  ||| 其他 全 国 其他 地方 应该 也 用 过 ，
Uh-huh , uh-huh .  ||| 嗯 ， 嗯 。
Must have used this too .  ||| 应该 也 用 过 。
Actually , I remember receiving an SMS like this one last year before it snowed , since snowfall would affect road conditions in Beijing to a rather large extent . ||| 其实 我 记得 在 去年 的 下雪 的 时候 ， 因为 下雪 对 这个 北京 的 路面 影响 会 比较 大 ， *pro* 之前 好象 就 曾经 收到 过 这样 的 这个 短 消息 ，
Uh-huh .  ||| 嗯 。
However , it did not give people such a special feeling as it did this time .  ||| 但是 没有 像 这 次 *pro* 给 大家 的 这个 感觉 这么 的 特别 。
Uh-huh .  ||| 嗯 。
Ah , when an SMS is sent to inform citizens of such an incident , can it be considered a work method or expression of government information transparency ? ||| 啊 ， 这个 短信 本身 的 这 种 发 出来 告知 市民 有 这样 的 事儿 ， 是 不 是 也 可以 说 是 政府 信息 透明 的 一 种 工作 方式 或者是 表现 ？
Yes , this is indeed through the very successful response to this emergency , ah , by Beijing Municipality , Uh-huh . an extremely good point that is worth pondering deeply , worthy innovation . ||| 对 ， 这个 是 一 个 *T*-1 确实 特别 值得 我们 ， 通过 这 次 北京市 非常 成功 的 这个 来 应对 这 次 危机 啊 ，
Yes , this is indeed through the very successful response to this emergency , ah , by Beijing Municipality , Uh-huh . an extremely good point that is worth pondering deeply , worthy innovation . ||| 嗯 。
Yes , this is indeed through the very successful response to this emergency , ah , by Beijing Municipality , Uh-huh . an extremely good point that is worth pondering deeply , worthy innovation . ||| 其中 一 个 非常 好 的 一 个 这个 ， 一 个 *T*-1 值得 深思 的 ， 一 个 *T*-2 值得 创新 的 点 。
Uh-huh .  ||| 嗯 。
For instance , previously our news announcements were made through some conventional methods , but this time it was made in the form of a mobile phone SMS . ||| 比如说 我们 原来 这个 信息 发布 都 是 通过 一些 传统 的 方式 ， 那么 这 一 次 通过 了 手机 短信 这 种 形式 。
In fact , this is a method highly emphasized in various countries  ' development of e-government .  ||| 实际上 这 是 *pro* 在 各 国 的 电子 政务 建设 当中 都 非常 重视 的 一 种 方式 ，
We usually make it sound like e-government is something unattainable .  ||| 电子 政务 我们 平时 把 它 都 说 的 是 高不可攀 的 。
Yes , when we talked about e-government in the past , it seemed to be only done through the Internet .  ||| 对 ， 以前 说到 电子 政务 好象 就 是 通过 网络 ，
Right .  ||| 对 。
It seemed that computers , ah , and the Internet , ah , were an expression of e-government , to let people find out information . ||| 好象 这个 电脑 啊 ， 上网 啊 是 电子 政务 的 一 种 表现 ，
It seemed that computers , ah , and the Internet , ah , were an expression of e-government , to let people find out information . ||| 让 大家 来 了解 信息 。
Well , presently in fact , e-governments in various countries apply this so-called last multiple-exposure method , such as call centers , such as electronic IDs , and such as , these electronic signatures . ||| 那么 在 当代 各 国 的 电子 政务 实际上 它 把 它 的 这 种 所谓 的 最后 一 公里 啊 ， 或者 最后 的 多 种 揭露 手段 ， 比如 呼叫 中心 ， 比如说 这个 电子 身份证 ， 比如说 这个 ， 这个 ， 这个 电子
These are quite sophisticated forms .  ||| 那么 在 当代 各 国 的 电子 政务 实际上 它 把 它 的 这 种 所谓 的 最后 一 公里 啊 ， 或者 最后 的 多 种 揭露 手段 ， 比如 呼叫 中心 ， 比如说 这个 电子 身份证 ， 比如说 这个 ， 这个 ， 这个 电子
Uh-huh .  ||| 嗯 。
In particular , more terminals , such as , this cable television , ah , , this digital television , ah , and mobile phone SMS , are applied in e-government . ||| 尤其 更 ， *T*-1 更 常 多 的 像 这个 这个 有线 电视 啊 ， 这个 ， 这个 数字 电视 啊 ， 和 手机 短信 这 种 终端 应用 到 电子 政务 当中 。
Hence , I think this is , a test of e-government because , as I remember , during SARS in 2003 , people at that time criticized e-government during the spread of SARS , ah . ||| 所以 我 觉得 这 是 一 种 很 好 的 一 种 ， 这个 这个 对 电子 政务 的 也 是 一 种 检验 ，
Hence , I think this is , a test of e-government because , as I remember , during SARS in 2003 , people at that time criticized e-government during the spread of SARS , ah . ||| 因为 我 记得 我们 在 零三年 非典 当中 ， 当时 大家 在 这个 非典 之所以 蔓延 啊 ， 当时 电子 政务 有 一些 批评 ，
Uh-huh .  ||| 嗯 。
They said that e-government was very good but was not put into use .  ||| 说 电子 政务 这个 ， 这个 很 好 ， 但是 没 用上 。
Well , this time I think that a short SMS like this can fully create interaction between the government and the public through this e-government form . ||| 那 这 一 次 我 觉得 这个 ， 这个 短短 的 一 个 短信 ， 就 可以 充分 发挥 这 种 政府 和 公众 ， 通过 电子 政务 这 种 形式 的 这 种 互动 的 这 种 作用 。
Uh-huh .  ||| 嗯 。
Yes .  ||| 对 。
We drive often in Beijing , ha , Yang Yang .  ||| 我们 在 北京 呢 也 经常 开车 哈 ， 杨洋 ，
If people were not informed of such a traffic accident through SMS on that day and they continued to head there , what do you think would happen if people did not know what was going on and the jam did not clear ? ||| 假如说 那天 发生 了 这样 交通 事故 没有 通过 短信 来 告诉 大家 ， 大家 还 往 那 走 的话 ， 如果 不 知道 那 发生 了 什么 事 ， 而且 一直 堵车 ， 你 想 会 是
Yes .  ||| 对 。
Ah , well , I think it would have been real paralysis .  ||| 啊 ， 那 我 想 真的 就 是 瘫痪 ， 用 这个 词 是 最 合适 的 。
This is the most appropriate word to use .  ||| 啊 ， 那 我 想 真的 就 是 瘫痪 ， 用 这个 词 是 最 合适 的 。
Furthermore , I think that when SMS was used to announce the news , it should be said to have fit the conditions in our China very well . ||| 而且 我 觉得 这 次 利用 这个 短信 来 发布 ， 发布 这 条 消息 来讲 ， 应该 说 是 非常 有 咱们 中国 的 国情 。
Why is that so ?  ||| 为什么 呢 ？
This is because , it should be said that China is the country with the highest SMS usage .  ||| 因为 中国 是 ， 这个 短信 应该 说 一 个 最 大 的 一 个 消费国 ，
There are probably not as many chances to use SMS in foreign countries compared with domestically , in China , ah .  ||| 可能 在 国外 来讲 使用 短信 的 机会 不 像 在 国内 是 ， 在 我们 中国 啊 是 这么 多 。
So , it can be said that penetration was quite high this time , by using the most familiar method , most used by everyone , as well as the most prompt and most convenient method , for the announcement . ||| 所以 这 一 次 呢 利用 大家 最 熟知 的 ， *T*-2 最 常用 的 一 种 形式 ， 而且 是 *T*-3 最 及时 ， 最 方便 的 一 种 形式 来 发布 的话
Yes , I noticed that many friends , around me received it .  ||| 对 ， 我 注意 到 ， 反正 我 周围 我 周围 很多 朋友 都 收到 了 ， 几乎 好象 每 一 个 人 都 收到 这样 短信 ，
It seems that almost everyone received this SMS .  ||| 对 ， 我 注意 到 ， 反正 我 周围 我 周围 很多 朋友 都 收到 了 ， 几乎 好象 每 一 个 人 都 收到 这样 短信 ，
Yes .  ||| 对 。
Yes .  ||| 对 。
The effect was extremely good , ha .  ||| 效果 非常 好 ， 哈 。
So , how exactly did citizens react ?  ||| 那么 到底 市民 是 怎么样 反应 的 呢 ， 我们 再 来 看一看 市民 的 反应 。
Let 's take a look at the reactions of citizens .  ||| 那么 到底 市民 是 怎么样 反应 的 呢 ， 我们 再 来 看一看 市民 的 反应 。
--an SMS .  ||| 一 短信 ， 我 一 看 是 那个 京广桥 这 的 。
I saw it was that Jingguang Bridge .  ||| 一 短信 ， 我 一 看 是 那个 京广桥 这 的 。
Hey , I say , this is quite good , quite good .  ||| 哎 ， 我 说 这 挺 好 挺 好 。
Have you received information like this before ?  ||| 原来 收到 过 这 方面 的 信息 吗 ？
No , no .  ||| 没有 没有 ， 这 头 一 次 。
This was the first time .  ||| 没有 没有 ， 这 头 一 次 。
The first time ?  ||| 头 一 次 ？
Yes , yes .  ||| 呃 ， 呃 。
Well , what do you think of the speed at which the government responded this time ?  ||| 那 您 觉得 政府 这 回 的 反应 速度 怎么样 ？
Quite fast .  ||| 挺 快 的 ， 真 挺 快 的 ， 啊 。
Really quite fast , ah .  ||| 挺 快 的 ， 真 挺 快 的 ， 啊 。
So , I did not drive today .  ||| 今天 我 就 没有 再 开车 了 ， 提前 稍微 早 了 一点 ， 换 地铁 过来 的 。
I set out a bit earlier and took the subway here .  ||| 今天 我 就 没有 再 开车 了 ， 提前 稍微 早 了 一点 ， 换 地铁 过来 的 。
Do you think that the response of the government was fast this time ?  ||| 您 觉得 这 回 政府 的 反应 速度 快 不 快 ？
Ah , the response was quite fast .  ||| 啊 ， 反应 速度 比较 快 ，
In addition , various media announcements were also quite prompt .  ||| 再 一 个 呢 ， 各 种 媒体 公布 的 也 比较 及时 。
Colleagues and friends also informed one another by phone calls and SMS .  ||| 各 个 同事 和 朋友们 也 都 互相 通知 ， 通过 电话 和 短信 。
I think this plan was quite speedy .  ||| 我 觉得 这个 方案 还是 比较 ， 还是 比较 迅速 的 还是 。
It seems that through this kind of SMS , citizens responded very well and the effect was excellent , ha .  ||| 通过 这样 的 短信 呢 好象 市民 的 反应 还是 非常 好 的 ， 效果 也 非常 的 好 ， 哈 。
Well , apart from the , ah , point on information disclosure brought out by this accident , the fact is that the activation of emergency contingency plans by the , ah , government has also left people with a very deep impression . ||| 那么 ， 除了 这 次 事故 中 透露 出来 的 这 种 信息 公开 的 这个 ， 啊 ， 点 以外 呢 ， 实际上 在 ， 啊 政府 的 这 种 应急 紧急 预案 的 启动 方面 也 给 人 留下 了
Let 's find out the situation at that time through some footage .  ||| 我们 再 通过 一些 画面 来 了解 当时 的 情况 。
Well , we know that after the road cave-in accident , ah , ah , traffic police and emergency rescue personnel rushed to the scene , ah , to direct traffic and carry out emergency repair of sewage pipes . ||| 那么 我们 知道 呢 ， 这 起 路面 塌陷 事故 以后 啊 ， 啊 ， 随即 呢 就 有 这个 交警 和 事故 的 抢险 人员 呢 ， 赶到 现场 啊 进行 这个 交通 疏导 和 污水 管线 的 抢修 。
Well , lots of barricade tape has been strung up on the side road in the north-south direction of the accident scene beneath the Jingguang Bridge at East Third Ring Road . ||| 那么 在 东三环 京广桥 下 事故 现场 南北 方向 的 辅路 上 呢 ， 已经 拉上 了 多 道 这个 警戒线 ，
All personnel responsible for the emergency repair of underground sewage pipes , ah , have arrived at their designated locations . ||| *T*-1 负责 地下 污水 管线 抢修 的 人员 呢 ， 啊 都 已经 全部 到位 了 。
See , through this footage , we see , ah , this--  ||| 你 看 我们 通过 这个 画面 看到 啊 ， 这个 ，
Uh-huh .  ||| 嗯 。
Okay , ah , , this emergency repair worker said that he was there at 4 o 'clock .  ||| 好 。
Okay , ah , , this emergency repair worker said that he was there at 4 o 'clock .  ||| 啊 ， 这 位 这个 *T*-1 抢修 的 工人 也 讲 了 ， 四点钟 就 到 了 ，
That means that they arrived at the scene right after the pre-dawn accident occurred .  ||| 凌晨 一 发生 事故 以后 ， 等于 他们 很 快 就 到 了 这个 现场 了 ，
Well , it can be said that the traffic administration department was activated very quickly after receiving the news .  ||| 那么 可以 说 这个 交管 部门 的 这个 信息 得到 了 以后 启动 的 也 非常 快 。
Well , ah , Yang Yang , you work at Traffic Radio Station , ha , well , and we know that you all gave an extensive live broadcast this morning . ||| 那么 ， 啊 杨洋 你 在 交通台 工作 哈 ， 那么 我们 也 知道 就是 今天 上午 你们 也 作 了 一 个 大量 的 直播 ，
A special program .  ||| 一 个 特别 节目 ，
Yes , a special program on this traffic .  ||| 哎 ， 一 个 特别 节目 就 关于 这个 交通 的 。
So , let 's first turn our attention to the impact on traffic after the accident .  ||| 所以 我们 先来 关注 一下 这个 事件 发生 以后 对 交通 的 影响 。
Judging from the traffic control measures taken after the accident , as well as the eventual impact caused , what do you think are the effects ? ||| 你们 觉得 这个 事故 发生 以后 交管 工作 采取 的 措施 ， 包括 *pro* 最后 造成 的 影响 ， 从 这 方面 来看 ， 你 觉得 效果 怎么样 ？
Actually , concerning this , I think both of you are very familiar with the traffic in Beijing .  ||| 其实 在 这个 ， 我 想 两 位 对于 北京 的 交通 也 是 非常 的 了解 ，
Previously we had a statistic , especially for the ring roads in Beijing .  ||| 特别是 在 北京 的 环路 上 我们 曾经 有 一 个 统计 ，
That is , if we have an ordinary fender bender or tailgate accident on a bridge such as the Jingguang Bridge of the Third Ring Road , it might cause the entire Third Ring Road to have bumper-to-bumper traffic jams during these morning and ||| 就是 如果 像 在 三环路 京广桥 这样 的 一 个 桥段 上 ， 如果 我们 发生 了 一 起 普通 的 刮蹭 事故 ， 或者是 追尾 事故 的话 ， 有 可能 在 这 种 早晚 高峰 期间 就 有 可能 造成 整个 三环路
Uh-huh .  ||| 嗯 。
It might even impact traffic on the Second Ring Road and Fourth Ring Road .  ||| 甚至 呢 ， 会 影响 到 二环路 和 四环路 方面 的 行驶 。
Well , ah , if there is an accident , from the time it occurs until the time all traffic is cleared , it probably takes about half an hour to an hour during peak periods . ||| 那 ， 啊 如果 是 一 起 事故 发生 之后 它 的 这个 从 形成 一直 到 这个 整个 流量 的 消散 ，
Well , ah , if there is an accident , from the time it occurs until the time all traffic is cleared , it probably takes about half an hour to an hour during peak periods . ||| 大约 可能 会 在 高峰 期间 ， 可能 会 持续 到 半 个 小时 到 一 个 小时 的 时间 。
Well , we could not imagine imposing temporary traffic restriction measures on a long section of road stretching from Jingguang Bridge to Changhong Bridge from the south all the way to Guomao Bridge , blocking the main and side roads . ||| 那 我们 不 敢 想象 从 京广桥 到 长虹桥 ， 南 边 一直 到 国贸桥 ， 这么 长 距离 的 一 个 *T*-1 主辅路 都 不 能 通行 的 一 个 路段 ， 在 这 当中 采取 了 临时 的 交通 限行
Well , the situation would be unthinkable during this peak period that is the first day of work for everyone .  ||| 那么 再 一 个 大家 又 第一 天 上班 ， 一 个 这样 的 一 个 高峰期 会 有 一 个 什么样 的 情况 不 可以 想象 。
Hence , at that time , before 6:30 a .m . today , before our live broadcast , we moved the broadcast forward , and before the live broadcast we were very worried . ||| 所以 呢 ， 我们 当时 在 今天 早晨 六点半 之前 ， 直播 之前 ， 我们 也 提前 开播 ， 直播 之前 也 是 很 担心 ，
However , actually after the entire day today , I came here right after ending the live broadcast this evening to continue with the live broadcast here , in fact , in Beijing today people indeed experienced an extremely high volume of traffic ||| 但是 事实上 通过 今天 整个 一 天 ， 因为 ， 我 也 是 刚刚 晚上 刚刚 下 直播 就 来到 了 这里 进行 继续 直播 ， 其实 通过 这 一 天 的 大家 的 感觉 ， 确实 北京 的 ， 它 在 这个
Uh-huh .  ||| 嗯 。
However , the affected area was not as large as expected .  ||| 但是 ， 它 的 波及面 没有 *pro* 想象 的 那么 大 。
Moreover , some people made detours once they received the news .  ||| 而且 有 人 知道 这 种 信息 以后 呢 也 都 绕开 了 ，
Right .  ||| 对 。
Psychologically , people felt quite relieved .  ||| 从 心理 上 来讲 大家 觉得 还是 很 安慰 的 。
Because I know this situation .  ||| 因为 我 是 知道 这个 情况 的 。
Right , like those whom we interviewed just now .  ||| 对 ， 而且 刚才 那个 咱们 采访 的 ，
It was easy to handle once everyone understood .  ||| 大家 理解 了 就 好 办 。
Yes , ah , , a citizen , he said , I set out today before the incident , and I did not drive after I was informed .  ||| 对 ， 而且 *pro* 刚才 采访 的 这个 我们 一 个 ， 啊 ， 一 个 观众 刚才 也 曾经 说 ， 一 个 市民 他 也 说 了 ， 说 我 今天 我 就 提前 出来 了 ， 我 知道 以后 ，
That person did not even drive .  ||| 那 位 还 不 开车 了 。
Right .  ||| 对 ， 其实 在 这 方面 我 觉得 市民 真的 是 相当 的 配合 ，
Actually , in this aspect , I think that citizens were really quite cooperative .  ||| 对 ， 其实 在 这 方面 我 觉得 市民 真的 是 相当 的 配合 ，
For instance , this evening , we , received an SMS .  ||| 比如 今天 晚上 我们 就 有 一 个 ， 接到 一 条 短信 ，
A friend said , I work on the 12th floor of the China World Trade Center at the Guomao Bridge , ah .  ||| 有 一 个 朋友 说 我 是 在 这个 国贸桥 ， 啊 在 这个 国贸 十二 层 上班 ，
We were discussing that we could go home in fewer cars since everyone was on the same route .  ||| 我们 正 商量 呢 大家 顺路 可以 少 开 几 辆 车 回家 ，
Later on , we suggested to him and said , you , ah , might as well take the subway , because you can directly reach the subway once you get down from the China World Trade Center . ||| 后来 我们 就 建议 他 说 ， 你 啊 不妨 去 坐 地铁 ，
Later on , we suggested to him and said , you , ah , might as well take the subway , because you can directly reach the subway once you get down from the China World Trade Center . ||| 因为 国贸 下去 直接 你 就 可以 到 地铁 了 。
Right .  ||| 对 。
Hey , he said this was quite a good idea .  ||| 哎 ， 他 说 这个 主意 不错 。
Actually , I think everyone was quite cooperative and also quite supportive in this aspect .  ||| 其实 在 这 方面 大家 我 觉得 相当 的 配合 ， 而且 也 是 相当 的 支持 。
Yes , many , viewers not in Beijing may not be quite familiar , ah , with this road section we just mentioned , where , ah , the accident occurred . ||| 对 ， *pro* 刚才 说到 的 这个 ， 啊 ， *T*-2 发生 这个 事故 的 这个 地段 呢 可能 很多 这个 观众 朋友 ， *T*-3 不 在 北京 的 观众 朋友 您 不
Ah , we can take a look later through an animation .  ||| 啊 ， 我们 待会儿 通过 一 个 动画图 可以 看 一下 ，
This road represents a main road on East Third Ring Road , with problems on both the main and side roads .  ||| 因为 这 条 路 呢 等于是 这 东三环 的 一 个 主 路 ， 主辅路 都 有 问题 。
Furthermore , Chaoyang Road is an intersection .  ||| 另外 ， 朝阳路 这 是 一 个 路口 ，
Uh-huh .  ||| 嗯 。
Whether it is Chaoyang Road in the east-west direction or the main and side roads of East Third Ring Road in the south-north direction , as we can see from this diagram , it can be said that the area at the main and side roads of East ||| 不论是 东西向 的 这个 朝阳路 ， 还是 南北向 的 这个 东三环 的 这个 主辅路 ， 可以 说 ， 你 看 我们 通过 这个 图 能 看到 ， 平常 这个 东三环 的 这个 主辅路 这 块 就 很 堵 ， 尤其是
Well , Chaoyang Road is a very important artery in the east-west direction .  ||| 那么 这个 朝阳路 呢 也 是 东西 的 一 个 非常 主要 的 一 个 干道 。
Yes .  ||| 对 。
When people living in the west want to cross over from the city , they have to go via this road .  ||| 哎 ， *T*-1 生活 在 西部 的 人 从 市 里面 要 过去 的话 ， 这 是 一 个 *pro* 必经 的 这个 道路 ，
Hence , if a traffic accident occurs at this place , we can indeed imagine , ha , how widespread , ah , the extent of the impact will be , such as the number of cars caught in traffic jams . ||| 所以 这个 地方 如果 发生 了 交通 事故 的话 那么 确实 ， 啊 影响面 之 广 ， 包括 *T*-1 拥堵 的 这个 车辆 之 多 是 可以 想像 的 哈 。
